id,team_api_id,team_long_name,date,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth
4,9994,Sporting Lokeren,2012-02-22,67.0,52.0,51.0,50.0,50.0,45.0,52.0,52.0
4,9994,Sporting Lokeren,2013-09-20,67.0,52.0,31.0,50.0,50.0,45.0,52.0,52.0
4,9994,Sporting Lokeren,2014-09-19,62.0,52.0,42.0,50.0,62.0,45.0,52.0,52.0
4,9994,Sporting Lokeren,2015-09-10,62.0,52.0,42.0,50.0,62.0,45.0,52.0,52.0
5,9984,KSV Cercle Brugge,2010-02-22,45.0,35.0,70.0,45.0,55.0,65.0,60.0,70.0
5,9984,KSV Cercle Brugge,2011-02-22,50.0,50.0,70.0,65.0,65.0,60.0,50.0,70.0
5,9984,KSV Cercle Brugge,2012-02-22,68.0,54.0,55.0,68.0,42.0,59.0,47.0,62.0
5,9984,KSV Cercle Brugge,2013-09-20,53.0,40.0,55.0,68.0,42.0,59.0,47.0,62.0
5,9984,KSV Cercle Brugge,2014-09-19,53.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0
5,9984,KSV Cercle Brugge,2015-09-10,53.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0
6,8635,RSC Anderlecht,2010-02-22,50.0,35.0,70.0,50.0,60.0,70.0,50.0,70.0
6,8635,RSC Anderlecht,2011-02-22,50.0,52.0,70.0,50.0,60.0,70.0,50.0,70.0
6,8635,RSC Anderlecht,2012-02-22,52.0,41.0,53.0,57.0,47.0,45.0,43.0,52.0
6,8635,RSC Anderlecht,2013-09-20,52.0,41.0,68.0,67.0,47.0,60.0,43.0,65.0
6,8635,RSC Anderlecht,2014-09-19,52.0,51.0,60.0,53.0,47.0,60.0,50.0,65.0
6,8635,RSC Anderlecht,2015-09-10,52.0,51.0,60.0,53.0,47.0,53.0,50.0,61.0
7,9991,KAA Gent,2010-02-22,70.0,65.0,60.0,50.0,60.0,45.0,50.0,40.0
7,9991,KAA Gent,2011-02-22,55.0,55.0,54.0,74.0,56.0,61.0,39.0,38.0
7,9991,KAA Gent,2012-02-22,50.0,47.0,55.0,66.0,47.0,48.0,45.0,52.0
7,9991,KAA Gent,2013-09-20,50.0,37.0,28.0,66.0,34.0,50.0,53.0,40.0
7,9991,KAA Gent,2014-09-19,50.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0
7,9991,KAA Gent,2015-09-10,50.0,37.0,42.0,66.0,34.0,49.0,54.0,52.0
8,9998,RAEC Mons,2012-02-22,50.0,50.0,55.0,48.0,46.0,46.0,45.0,47.0
8,9998,RAEC Mons,2013-09-20,50.0,50.0,55.0,67.0,46.0,46.0,45.0,47.0
8,9998,RAEC Mons,2014-09-19,55.0,55.0,55.0,67.0,46.0,46.0,45.0,47.0
9,7947,FCV Dender EH,2014-09-19,52.46227709190672,50.0,52.16529492455418,53.0,53.0,45.0,48.0,52.185871056241425
10,9985,Standard de Liège,2010-02-22,53.0,40.0,55.0,55.0,65.0,70.0,70.0,65.0
10,9985,Standard de Liège,2011-02-22,68.0,66.0,53.0,66.0,63.0,59.0,47.0,66.0
10,9985,Standard de Liège,2012-02-22,75.0,70.0,55.0,58.0,60.0,45.0,60.0,52.0
10,9985,Standard de Liège,2013-09-20,54.0,62.0,55.0,58.0,60.0,45.0,60.0,52.0
10,9985,Standard de Liège,2014-09-19,54.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0
10,9985,Standard de Liège,2015-09-10,54.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0
11,8203,KV Mechelen,2010-02-22,65.0,60.0,50.0,40.0,50.0,60.0,70.0,60.0
11,8203,KV Mechelen,2011-02-22,67.0,57.0,47.0,47.0,52.0,48.0,61.0,48.0
11,8203,KV Mechelen,2012-02-22,52.0,54.0,47.0,53.0,50.0,52.0,60.0,48.0
11,8203,KV Mechelen,2013-09-20,52.0,33.0,47.0,53.0,50.0,42.0,60.0,52.0
11,8203,KV Mechelen,2014-09-19,52.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0
11,8203,KV Mechelen,2015-09-10,52.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0
12,8342,Club Brugge KV,2010-02-22,35.0,40.0,45.0,50.0,45.0,60.0,70.0,70.0
12,8342,Club Brugge KV,2011-02-22,67.0,47.0,68.0,49.0,53.0,57.0,44.0,47.0
12,8342,Club Brugge KV,2012-02-22,64.0,54.0,48.0,61.0,47.0,60.0,50.0,52.0
12,8342,Club Brugge KV,2013-09-20,45.0,48.0,48.0,61.0,47.0,43.0,59.0,45.0
12,8342,Club Brugge KV,2014-09-19,42.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0
12,8342,Club Brugge KV,2015-09-10,42.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0
13,9999,KSV Roeselare,2010-02-22,65.0,60.0,50.0,35.0,40.0,65.0,70.0,70.0
14,8571,KV Kortrijk,2010-02-22,50.0,60.0,50.0,50.0,50.0,60.0,60.0,65.0
14,8571,KV Kortrijk,2011-02-22,38.0,65.0,38.0,69.0,52.0,34.0,57.0,47.0
14,8571,KV Kortrijk,2012-02-22,31.0,47.0,37.0,67.0,50.0,46.0,45.0,52.0
14,8571,KV Kortrijk,2013-09-20,42.0,40.0,37.0,67.0,30.0,46.0,45.0,52.0
14,8571,KV Kortrijk,2014-09-19,42.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0
14,8571,KV Kortrijk,2015-09-10,42.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0
15,4049,Tubize,2015-09-10,52.46227709190672,50.0,52.16529492455418,53.0,53.0,45.0,48.0,52.185871056241425
16,9996,Royal Excel Mouscron,2015-09-10,50.0,50.0,50.0,50.0,50.0,45.0,45.0,50.0
16,9996,Royal Excel Mouscron,2015-09-10,50.0,50.0,50.0,50.0,50.0,45.0,45.0,50.0
17,10001,KVC Westerlo,2010-02-22,45.0,60.0,40.0,45.0,55.0,70.0,70.0,70.0
17,10001,KVC Westerlo,2011-02-22,34.0,52.0,66.0,48.0,53.0,48.0,59.0,67.0
17,10001,KVC Westerlo,2012-02-22,52.0,50.0,59.0,60.0,32.0,48.0,45.0,53.0
17,10001,KVC Westerlo,2015-09-10,52.0,50.0,57.0,55.0,32.0,48.0,45.0,53.0
18,9986,Sporting Charleroi,2010-02-22,40.0,50.0,45.0,43.0,60.0,70.0,70.0,70.0
18,9986,Sporting Charleroi,2011-02-22,47.0,36.0,34.0,33.0,53.0,49.0,58.0,48.0
18,9986,Sporting Charleroi,2013-09-20,60.0,53.0,48.0,50.0,48.0,42.0,48.0,49.0
18,9986,Sporting Charleroi,2014-09-19,60.0,53.0,48.0,50.0,48.0,42.0,48.0,49.0
18,9986,Sporting Charleroi,2015-09-10,60.0,53.0,48.0,50.0,48.0,39.0,48.0,49.0
614,9997,Sint-Truidense VV,2010-02-22,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
614,9997,Sint-Truidense VV,2011-02-22,53.0,53.0,48.0,52.0,53.0,46.0,46.0,46.0
614,9997,Sint-Truidense VV,2012-02-22,52.0,55.0,52.0,55.0,47.0,32.0,40.0,41.0
1034,9989,Lierse SK,2011-02-22,48.0,65.0,55.0,45.0,50.0,46.0,48.0,45.0
1034,9989,Lierse SK,2012-02-22,69.0,58.0,56.0,52.0,61.0,45.0,49.0,65.0
1034,9989,Lierse SK,2013-09-20,69.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0
1034,9989,Lierse SK,2014-09-19,69.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0
1034,9989,Lierse SK,2015-09-10,69.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0
1042,6351,KAS Eupen,2011-02-22,50.0,55.0,50.0,55.0,55.0,50.0,50.0,55.0
1513,1773,Oud-Heverlee Leuven,2012-02-22,52.0,50.0,50.0,53.0,54.0,43.0,44.0,50.0
1513,1773,Oud-Heverlee Leuven,2013-09-20,52.0,50.0,50.0,53.0,54.0,43.0,44.0,50.0
1513,1773,Oud-Heverlee Leuven,2014-09-19,52.0,50.0,50.0,53.0,54.0,43.0,44.0,50.0
2004,8475,Waasland-Beveren,2013-09-20,62.0,53.0,50.0,30.0,54.0,30.0,49.0,35.0
2004,8475,Waasland-Beveren,2014-09-19,38.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0
2004,8475,Waasland-Beveren,2015-09-10,38.0,49.0,45.0,42.0,53.0,27.0,32.0,35.0
2476,8573,KV Oostende,2014-09-19,52.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0
2476,8573,KV Oostende,2015-09-10,52.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0
2510,274581,Royal Excel Mouscron,2015-09-10,50.0,50.0,50.0,50.0,50.0,45.0,45.0,50.0
3457,10260,Manchester United,2010-02-22,70.0,45.0,45.0,70.0,65.0,40.0,50.0,40.0
3457,10260,Manchester United,2011-02-22,65.0,40.0,65.0,65.0,70.0,45.0,45.0,65.0
3457,10260,Manchester United,2012-02-22,46.0,54.0,46.0,60.0,55.0,40.0,50.0,56.0
3457,10260,Manchester United,2013-09-20,46.0,38.0,46.0,68.0,37.0,49.0,49.0,56.0
3457,10260,Manchester United,2014-09-19,46.0,54.0,49.0,72.0,56.0,42.0,41.0,56.0
3457,10260,Manchester United,2015-09-10,38.0,44.0,49.0,44.0,40.0,54.0,53.0,56.0
3458,10261,Newcastle United,2010-02-22,70.0,60.0,65.0,70.0,60.0,45.0,65.0,45.0
3458,10261,Newcastle United,2011-02-22,55.0,50.0,60.0,50.0,60.0,45.0,45.0,50.0
3458,10261,Newcastle United,2012-02-22,54.0,54.0,54.0,68.0,48.0,52.0,48.0,42.0
3458,10261,Newcastle United,2013-09-20,58.0,72.0,48.0,51.0,46.0,41.0,39.0,51.0
3458,10261,Newcastle United,2014-09-19,54.0,47.0,47.0,51.0,39.0,56.0,54.0,51.0
3458,10261,Newcastle United,2015-09-10,58.0,49.0,47.0,54.0,46.0,41.0,39.0,51.0
3459,9825,Arsenal,2010-02-22,66.0,30.0,30.0,45.0,35.0,30.0,40.0,50.0
3459,9825,Arsenal,2011-02-22,75.0,40.0,40.0,45.0,65.0,50.0,40.0,45.0
3459,9825,Arsenal,2012-02-22,25.0,32.0,41.0,34.0,30.0,57.0,57.0,52.0
3459,9825,Arsenal,2013-09-20,30.0,29.0,41.0,55.0,39.0,64.0,54.0,52.0
3459,9825,Arsenal,2014-09-19,59.0,26.0,28.0,55.0,64.0,51.0,44.0,52.0
3459,9825,Arsenal,2015-09-10,59.0,30.0,28.0,44.0,46.0,51.0,44.0,52.0
3460,8659,West Bromwich Albion,2010-02-22,65.0,40.0,70.0,70.0,55.0,70.0,70.0,70.0
3460,8659,West Bromwich Albion,2011-02-22,60.0,65.0,40.0,50.0,45.0,35.0,55.0,60.0
3460,8659,West Bromwich Albion,2012-02-22,48.0,48.0,45.0,60.0,54.0,38.0,38.0,52.0
3460,8659,West Bromwich Albion,2013-09-20,55.0,54.0,57.0,53.0,57.0,33.0,31.0,49.0
3460,8659,West Bromwich Albion,2014-09-19,55.0,51.0,53.0,53.0,57.0,41.0,40.0,49.0
3460,8659,West Bromwich Albion,2015-09-10,62.0,51.0,53.0,50.0,60.0,41.0,40.0,49.0
3461,8472,Sunderland,2010-02-22,60.0,70.0,70.0,70.0,55.0,35.0,70.0,35.0
3461,8472,Sunderland,2011-02-22,55.0,55.0,55.0,65.0,55.0,45.0,55.0,65.0
3461,8472,Sunderland,2012-02-22,67.0,62.0,44.0,72.0,59.0,47.0,53.0,60.0
3461,8472,Sunderland,2013-09-20,57.0,66.0,56.0,31.0,72.0,47.0,52.0,49.0
3461,8472,Sunderland,2014-09-19,60.0,61.0,56.0,44.0,58.0,41.0,38.0,53.0
3461,8472,Sunderland,2015-09-10,43.0,51.0,59.0,50.0,55.0,47.0,45.0,49.0
3462,8650,Liverpool,2010-02-22,50.0,35.0,50.0,60.0,70.0,40.0,60.0,40.0
3462,8650,Liverpool,2011-02-22,60.0,50.0,40.0,45.0,60.0,55.0,55.0,50.0
3462,8650,Liverpool,2012-02-22,60.0,60.0,48.0,73.0,53.0,50.0,48.0,62.0
3462,8650,Liverpool,2013-09-20,39.0,44.0,42.0,34.0,54.0,59.0,52.0,61.0
3462,8650,Liverpool,2014-09-19,71.0,32.0,34.0,41.0,61.0,51.0,48.0,62.0
3462,8650,Liverpool,2015-09-10,66.0,45.0,34.0,34.0,46.0,51.0,52.0,61.0
3463,8654,West Ham United,2010-02-22,58.0,30.0,31.0,70.0,50.0,30.0,70.0,30.0
3463,8654,West Ham United,2011-02-22,35.0,35.0,30.0,45.0,45.0,45.0,45.0,50.0
3463,8654,West Ham United,2012-02-22,63.0,64.0,44.0,60.0,55.0,30.0,34.0,38.0
3463,8654,West Ham United,2013-09-20,72.0,73.0,61.0,74.0,32.0,30.0,37.0,41.0
3463,8654,West Ham United,2014-09-19,72.0,73.0,68.0,71.0,32.0,30.0,34.0,41.0
3463,8654,West Ham United,2015-09-10,77.0,57.0,68.0,73.0,29.0,30.0,37.0,41.0
3464,8528,Wigan Athletic,2010-02-22,70.0,70.0,70.0,70.0,50.0,35.0,70.0,35.0
3464,8528,Wigan Athletic,2011-02-22,35.0,50.0,45.0,65.0,50.0,45.0,55.0,65.0
3464,8528,Wigan Athletic,2012-02-22,38.0,38.0,54.0,42.0,42.0,40.0,42.0,44.0
3464,8528,Wigan Athletic,2013-09-20,38.0,39.0,43.0,42.0,34.0,56.0,52.0,44.0
3464,8528,Wigan Athletic,2014-09-19,51.0,51.0,52.0,55.0,57.0,62.0,57.0,44.0
3464,8528,Wigan Athletic,2015-09-10,51.0,56.0,52.0,59.0,40.0,62.0,48.0,44.0
3465,10252,Aston Villa,2010-02-22,70.0,59.0,65.0,70.0,50.0,30.0,70.0,30.0
3465,10252,Aston Villa,2011-02-22,65.0,50.0,45.0,55.0,50.0,35.0,45.0,65.0
3465,10252,Aston Villa,2012-02-22,67.0,58.0,44.0,60.0,56.0,43.0,50.0,52.0
3465,10252,Aston Villa,2013-09-20,63.0,59.0,52.0,55.0,34.0,39.0,41.0,54.0
3465,10252,Aston Villa,2014-09-19,66.0,72.0,63.0,48.0,56.0,39.0,42.0,52.0
3465,10252,Aston Villa,2015-09-10,63.0,54.0,60.0,48.0,38.0,35.0,44.0,54.0
3466,8456,Manchester City,2010-02-22,70.0,60.0,55.0,70.0,70.0,45.0,55.0,45.0
3466,8456,Manchester City,2011-02-22,70.0,60.0,70.0,65.0,75.0,65.0,65.0,50.0
3466,8456,Manchester City,2012-02-22,45.0,55.0,40.0,38.0,48.0,50.0,60.0,54.0
3466,8456,Manchester City,2013-09-20,36.0,34.0,39.0,44.0,38.0,42.0,44.0,54.0
3466,8456,Manchester City,2014-09-19,59.0,29.0,32.0,49.0,62.0,42.0,44.0,54.0
3466,8456,Manchester City,2015-09-10,59.0,29.0,38.0,36.0,24.0,48.0,47.0,54.0
3467,8668,Everton,2010-02-22,60.0,65.0,60.0,70.0,45.0,40.0,70.0,40.0
3467,8668,Everton,2011-02-22,60.0,50.0,55.0,70.0,55.0,55.0,65.0,60.0
3467,8668,Everton,2012-02-22,56.0,56.0,48.0,57.0,56.0,50.0,50.0,60.0
3467,8668,Everton,2013-09-20,58.0,62.0,48.0,59.0,32.0,41.0,44.0,59.0
3467,8668,Everton,2014-09-19,61.0,42.0,39.0,59.0,48.0,52.0,58.0,60.0
3467,8668,Everton,2015-09-10,43.0,40.0,39.0,33.0,63.0,52.0,58.0,59.0
3468,8655,Blackburn Rovers,2010-02-22,55.0,70.0,60.0,70.0,55.0,45.0,70.0,45.0
3468,8655,Blackburn Rovers,2011-02-22,55.0,65.0,50.0,50.0,35.0,45.0,60.0,55.0
3468,8655,Blackburn Rovers,2012-02-22,57.0,57.0,55.0,45.0,40.0,42.0,50.0,38.0
3468,8655,Blackburn Rovers,2013-09-20,44.0,64.0,55.0,52.0,40.0,42.0,50.0,38.0
3468,8655,Blackburn Rovers,2014-09-19,44.0,62.0,63.0,61.0,40.0,50.0,50.0,47.0
3468,8655,Blackburn Rovers,2015-09-10,60.0,65.0,59.0,58.0,42.0,50.0,50.0,57.0
3469,8549,Middlesbrough,2010-02-22,70.0,70.0,70.0,70.0,50.0,30.0,70.0,30.0
3469,8549,Middlesbrough,2011-02-22,66.0,51.0,64.0,64.0,48.0,54.0,44.0,49.0
3469,8549,Middlesbrough,2012-02-22,60.0,72.0,40.0,56.0,72.0,38.0,42.0,42.0
3469,8549,Middlesbrough,2013-09-20,60.0,40.0,40.0,56.0,57.0,38.0,42.0,52.0
3469,8549,Middlesbrough,2014-09-19,60.0,56.0,49.0,56.0,72.0,38.0,42.0,42.0
3469,8549,Middlesbrough,2015-09-10,60.0,46.0,43.0,55.0,37.0,38.0,42.0,42.0
3470,8586,Tottenham Hotspur,2010-02-22,70.0,50.0,50.0,65.0,50.0,50.0,50.0,50.0
3470,8586,Tottenham Hotspur,2011-02-22,60.0,55.0,70.0,70.0,70.0,30.0,40.0,60.0
3470,8586,Tottenham Hotspur,2012-02-22,44.0,47.0,52.0,63.0,61.0,43.0,44.0,51.0
3470,8586,Tottenham Hotspur,2013-09-20,42.0,46.0,45.0,58.0,68.0,63.0,61.0,57.0
3470,8586,Tottenham Hotspur,2014-09-19,41.0,38.0,41.0,59.0,62.0,58.0,51.0,56.0
3470,8586,Tottenham Hotspur,2015-09-10,47.0,40.0,41.0,41.0,63.0,63.0,54.0,56.0
3471,8559,Bolton Wanderers,2010-02-22,55.0,70.0,70.0,70.0,45.0,35.0,70.0,35.0
3471,8559,Bolton Wanderers,2011-02-22,45.0,70.0,55.0,70.0,50.0,40.0,55.0,50.0
3471,8559,Bolton Wanderers,2012-02-22,57.0,56.0,45.0,54.0,54.0,48.0,48.0,58.0
3471,8559,Bolton Wanderers,2013-09-20,57.0,53.0,42.0,38.0,54.0,39.0,48.0,58.0
3471,8559,Bolton Wanderers,2014-09-19,57.0,73.0,72.0,43.0,56.0,39.0,48.0,58.0
3471,8559,Bolton Wanderers,2015-09-10,57.0,61.0,72.0,60.0,38.0,39.0,48.0,58.0
3472,10194,Stoke City,2010-02-22,65.0,70.0,70.0,70.0,55.0,35.0,70.0,35.0
3472,10194,Stoke City,2011-02-22,50.0,80.0,30.0,70.0,35.0,25.0,65.0,50.0
3472,10194,Stoke City,2012-02-22,75.0,75.0,40.0,72.0,55.0,50.0,58.0,45.0
3472,10194,Stoke City,2013-09-20,75.0,73.0,59.0,61.0,38.0,32.0,37.0,41.0
3472,10194,Stoke City,2014-09-19,48.0,55.0,51.0,57.0,37.0,38.0,40.0,41.0
3472,10194,Stoke City,2015-09-10,48.0,49.0,51.0,59.0,49.0,44.0,37.0,51.0
3473,8667,Hull City,2010-02-22,65.0,60.0,70.0,70.0,55.0,70.0,70.0,70.0
3473,8667,Hull City,2011-02-22,49.0,52.0,64.0,64.0,37.0,46.0,46.0,67.0
3473,8667,Hull City,2012-02-22,61.0,48.0,38.0,60.0,54.0,38.0,42.0,46.0
3473,8667,Hull City,2013-09-20,63.0,48.0,38.0,60.0,54.0,34.0,37.0,46.0
3473,8667,Hull City,2014-09-19,56.0,51.0,54.0,60.0,48.0,38.0,37.0,46.0
3473,8667,Hull City,2015-09-10,56.0,55.0,54.0,49.0,56.0,38.0,37.0,46.0
3474,9879,Fulham,2010-02-22,60.0,70.0,70.0,70.0,50.0,40.0,35.0,40.0
3474,9879,Fulham,2011-02-22,50.0,55.0,45.0,55.0,40.0,45.0,35.0,50.0
3474,9879,Fulham,2012-02-22,48.0,45.0,38.0,62.0,54.0,38.0,38.0,62.0
3474,9879,Fulham,2013-09-20,52.0,49.0,49.0,56.0,59.0,39.0,39.0,57.0
3474,9879,Fulham,2014-09-19,52.0,56.0,58.0,41.0,54.0,29.0,28.0,39.0
3474,9879,Fulham,2015-09-10,52.0,48.0,39.0,54.0,59.0,29.0,30.0,39.0
3475,8455,Chelsea,2010-02-22,70.0,60.0,56.0,70.0,70.0,30.0,60.0,35.0
3475,8455,Chelsea,2011-02-22,60.0,50.0,60.0,60.0,80.0,35.0,55.0,50.0
3475,8455,Chelsea,2012-02-22,60.0,45.0,55.0,45.0,45.0,60.0,62.0,46.0
3475,8455,Chelsea,2013-09-20,46.0,41.0,46.0,61.0,63.0,42.0,43.0,46.0
3475,8455,Chelsea,2014-09-19,67.0,38.0,41.0,61.0,68.0,39.0,41.0,46.0
3475,8455,Chelsea,2015-09-10,67.0,36.0,41.0,34.0,44.0,39.0,41.0,46.0
3476,8462,Portsmouth,2010-02-22,70.0,70.0,70.0,70.0,55.0,40.0,70.0,40.0
3476,8462,Portsmouth,2011-02-22,36.0,48.0,48.0,66.0,51.0,36.0,44.0,48.0
3476,8462,Portsmouth,2012-02-22,64.0,59.0,40.0,42.0,56.0,49.0,51.0,44.0
3476,8462,Portsmouth,2013-09-20,68.0,62.0,40.0,47.0,56.0,49.0,51.0,44.0
3476,8462,Portsmouth,2014-09-19,59.0,57.0,49.0,47.0,53.0,39.0,40.0,44.0
3476,8462,Portsmouth,2015-09-10,59.0,57.0,49.0,47.0,53.0,39.0,40.0,44.0
4218,8658,Birmingham City,2010-02-22,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
4218,8658,Birmingham City,2011-02-22,45.0,60.0,35.0,50.0,40.0,30.0,60.0,45.0
4218,8658,Birmingham City,2012-02-22,51.0,55.0,41.0,62.0,56.0,42.0,48.0,54.0
4218,8658,Birmingham City,2013-09-20,56.0,57.0,45.0,71.0,41.0,42.0,44.0,54.0
4218,8658,Birmingham City,2014-09-19,56.0,79.0,77.0,71.0,56.0,42.0,48.0,54.0
4218,8658,Birmingham City,2015-09-10,56.0,75.0,77.0,62.0,64.0,42.0,47.0,54.0
4225,8602,Wolverhampton Wanderers,2010-02-22,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
4225,8602,Wolverhampton Wanderers,2011-02-22,55.0,55.0,60.0,60.0,45.0,45.0,45.0,50.0
4225,8602,Wolverhampton Wanderers,2012-02-22,67.0,68.0,42.0,68.0,56.0,48.0,60.0,45.0
4225,8602,Wolverhampton Wanderers,2013-09-20,63.0,61.0,42.0,73.0,56.0,42.0,48.0,52.0
4225,8602,Wolverhampton Wanderers,2014-09-19,47.0,58.0,55.0,64.0,56.0,47.0,48.0,52.0
4225,8602,Wolverhampton Wanderers,2015-09-10,46.0,54.0,55.0,47.0,48.0,47.0,48.0,55.0
4234,8191,Burnley,2010-02-22,70.0,65.0,70.0,70.0,70.0,65.0,70.0,70.0
4234,8191,Burnley,2011-02-22,36.0,52.0,49.0,68.0,55.0,24.0,56.0,66.0
4234,8191,Burnley,2012-02-22,48.0,44.0,56.0,58.0,48.0,52.0,50.0,58.0
4234,8191,Burnley,2013-09-20,54.0,55.0,56.0,59.0,48.0,48.0,50.0,58.0
4234,8191,Burnley,2014-09-19,48.0,74.0,72.0,59.0,58.0,54.0,57.0,58.0
4234,8191,Burnley,2015-09-10,54.0,67.0,72.0,57.0,47.0,63.0,62.0,58.0
4996,8483,Blackpool,2010-02-22,70.0,70.0,70.0,70.0,65.0,70.0,70.0,70.0
4996,8483,Blackpool,2011-02-22,70.0,30.0,65.0,30.0,65.0,45.0,50.0,45.0
4996,8483,Blackpool,2012-02-22,45.0,52.0,60.0,58.0,58.0,49.0,52.0,54.0
4996,8483,Blackpool,2013-09-20,45.0,52.0,60.0,58.0,58.0,49.0,52.0,54.0
4996,8483,Blackpool,2014-09-19,67.0,72.0,70.0,48.0,58.0,39.0,38.0,54.0
4996,8483,Blackpool,2015-09-10,62.0,64.0,59.0,43.0,64.0,39.0,38.0,54.0
5744,10003,Swansea City,2010-02-22,65.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
5744,10003,Swansea City,2011-02-22,66.0,34.0,52.0,51.0,64.0,44.0,47.0,64.0
5744,10003,Swansea City,2012-02-22,26.0,24.0,62.0,39.0,57.0,48.0,58.0,60.0
5744,10003,Swansea City,2013-09-20,41.0,39.0,36.0,42.0,44.0,52.0,58.0,57.0
5744,10003,Swansea City,2014-09-19,63.0,34.0,34.0,51.0,36.0,51.0,58.0,54.0
5744,10003,Swansea City,2015-09-10,45.0,42.0,34.0,36.0,55.0,31.0,47.0,42.0
5747,10172,Queens Park Rangers,2010-02-22,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
5747,10172,Queens Park Rangers,2011-02-22,51.0,49.0,36.0,48.0,52.0,44.0,43.0,40.0
5747,10172,Queens Park Rangers,2012-02-22,57.0,58.0,60.0,48.0,48.0,42.0,51.0,44.0
5747,10172,Queens Park Rangers,2013-09-20,58.0,54.0,53.0,39.0,54.0,49.0,47.0,44.0
5747,10172,Queens Park Rangers,2014-09-19,52.0,53.0,53.0,54.0,54.0,50.0,44.0,54.0
5747,10172,Queens Park Rangers,2015-09-10,30.0,61.0,53.0,53.0,60.0,50.0,44.0,54.0
5756,9850,Norwich City,2010-02-22,65.0,70.0,70.0,70.0,55.0,60.0,70.0,70.0
5756,9850,Norwich City,2011-02-22,49.0,52.0,48.0,64.0,66.0,34.0,54.0,48.0
5756,9850,Norwich City,2012-02-22,63.0,61.0,42.0,76.0,62.0,40.0,50.0,42.0
5756,9850,Norwich City,2013-09-20,70.0,70.0,56.0,67.0,48.0,40.0,43.0,53.0
5756,9850,Norwich City,2014-09-19,45.0,64.0,55.0,67.0,42.0,40.0,43.0,51.0
5756,9850,Norwich City,2015-09-10,45.0,55.0,46.0,54.0,47.0,38.0,39.0,51.0
6504,8466,Southampton,2010-02-22,70.0,55.0,70.0,70.0,65.0,70.0,70.0,70.0
